iter,param,direction,Kp,Kd,cost,rmse,jiggle,aborted,accepted
0,baseline,-,1.5,0.0,0.045621945671816246,0.04560254246750991,3.8806408612673876e-05,False,True
1,Kp,+,1.8,0.0,0.045968528526657886,0.045951460744477125,3.413556436151537e-05,False,False
1,Kp,-,1.2,0.0,0.04358771966264247,0.043571796330032705,3.184666521953349e-05,False,True
1,Kd,+,1.2,0.05,0.04338695715829736,0.04335170388027756,7.050655603959817e-05,False,True
2,Kp,+,1.5,0.05,0.045084707710370535,0.04506095752024646,4.750038024815064e-05,False,False
2,Kp,-,0.8999999999999999,0.05,0.0407742278965759,0.04072919244402424,9.007090510332756e-05,False,True
2,Kd,+,0.8999999999999999,0.1,0.04022409351647144,0.04011822486672462,0.00021173729949364758,False,True
3,Kp,+,1.2,0.1,0.043678556530580094,0.04361195886169891,0.00013319533776235567,False,False
3,Kp,-,0.5999999999999999,0.1,0.03748223128877206,0.03742783091942979,0.00010880073868454078,False,True
3,Kd,+,0.5999999999999999,0.15000000000000002,0.037699091954783104,0.037587719457824416,0.0002227449939173815,False,False
3,Kd,-,0.5999999999999999,0.05,0.03721994294157146,0.03719991603278953,4.0053817563856124e-05,False,True
4,Kp,+,0.8999999999999999,0.05,0.04091010142653587,0.04086486679871818,9.046925563538889e-05,False,False
4,Kp,-,0.2999999999999999,0.05,0.03026101917089178,0.030254603429623054,1.2831482537448878e-05,False,True
4,Kd,+,0.2999999999999999,0.1,0.03039464144714488,0.030373821671583787,4.163955112218416e-05,False,False
4,Kd,-,0.2999999999999999,0.0,0.029865509691101796,0.02986496492811025,1.0895259830916289e-06,False,True
5,Kp,+,0.5999999999999999,0.0,0.036185940529539,0.03618204364284186,7.793773394287487e-06,False,False
5,Kp,-,0.1,0.0,0.024064640366416586,0.0240646050628157,7.060720177614197e-08,False,True
5,Kd,+,0.1,0.05,0.020036341653614866,0.02003473472107795,3.213865073835556e-06,False,True
6,Kp,+,0.4,0.05,0.028023658438365146,0.02801371113317725,1.989461037579031e-05,False,False
6,Kd,+,0.1,0.1,0.0237995905631139,0.02379336201302033,1.2457100187144538e-05,False,False
